예쁜;아름다운,멋진,고운
겸손히;겸손한 태도로,겸허하게,겸손한 마음으로,굽실거리지 않고,자기보다 낮게 생각하며

겸양;겸손,겸허,자기 낮추기,겸손한 태도,굽실거리지 않는
겸업;병행,겸직,동시에 두 가지 업무나 직책을 겸하다,겸용
겸업주의;다중 직업 체제,복수 직업론,겸업론,두 가지 업무를 병행하는 체제
겸연쩍다;겸손한,자기 낮추는 태도,겸허한,굽실거리지 않는,겸양스러운
겸용;복수용도,다용도,복합적,다재다능한
겸임;두 가지 이상의 직무를 겸하다,복수 직무,다중 역할
겸직;두 가지 이상의 직무를 겸하다,다중 직무,다목적 직무
겸행;두 가지 이상의 일을 병행하다,복수 직무,다중 역할
겸허;겸손,자기 낮추기,겸손한 태도,굽실거리지 않는,겸양
겸허히;겸손한 태도로,겸손하게,겸손한 마음으로,굽실거리지 않고,겸양스럽게
겹겹;쌓여있는,두꺼운,여러 겹으로 덮인,면면이 꼬이는
겹겹이;여러 겹으로 덮인,두꺼운,많은,쌓여있는
겹경사;연속적으로 쌓인 경사,연단 모양의 경사,급격하게 오르락내리락 하는 경사
겹눈;눈송이가 여러 겹으로 쌓인 것,산눈,눈더미
겹다;쌓여있는,겹겹이 쌓인,두꺼운,다층적인
겹박자;여러 개의 박자가 겹쳐진 리듬,다중 박자,겹박
겹치기;겹치다,두 가지 이상의 것이 서로 만나다,중첩,중복
겹치다;서로 만나다,중첩되다,중복되다,겹침
경각심;경계심,조심성,조심,주의성,경계
경감;감소,줄어듦,덜어

경계석;경계선,경계심
경고;경고문,경고성,경고장,경고적
경과;경력
경관;경로
경기;경기력,경기료,경기자,경기장
경도;경도력
경락;경락설,경락통
경량;경량급,경량화
경력;경력자
경련;경련성,경련통
경례;경례식
경로;경로잔치

경계선;경계,경계면
경계심;경계,경계감
경고문;경고장,주의보
경고성;경고적,경각심을 일으키는
경고장;경고문,주의보
경고적;경고성,경각심을 일으키는
경공업;산업,공업
경광등;신호등,비상등
경구;구취,입술냄새
경기력;실력,기량
경기료;출전료,참가비
경기자;선수,참가자
경기장;구장,스타디움
경도;경도수,경도측정
경도력;냉철함,단호함
경락받다;마사지받다,근육을 이완시키다
경락설;경락,경락요법
경량급;경량화,가벼움
경량화;경량급,가벼워지다
경력;경험,노하우
경력자;경험이 많은 사람,베테랑
경련;증세,발작
경련성;경련을 일으키는,경련과 관련된
경련통;경련,증세
경례;경의,예의
경로;도로,길
경로잔치;정경,규모 있는 연회

경로증;통로증,길증
경륜;경주
경리;회계,재무
경리과;회계과
경리과장;회계과장
경리부장;재무부장
경리실;회계실,재무실
경마;마구간,경마코스
경마장;경주장
경망;그물,집어넣는 그물
경망스럽다;집어넣는 그물 같은,망사의
경매;입찰,호가
경매업체;입찰 업체,호가 업체
경매인;입찰자,호가자
경매장;입찰장,호가장
경멸;경멸감,업신여김
경멸감;경멸,모욕
경멸스럽다;경멸적인,업신여기는
경멸적;경멸스러운,모욕하는
경무;경호,경비
경미;작음,얇음
경박;경박함,얕음
경박성;경솔,경박함
경배;숭배,경의
경범죄;경범죄,경범죄행위
경보;경고,알림
경보기;경보장치,알림기
경보음;경보소리,경고음
경보장치;경보기,알림장치
경부;목,머리
경비;보안,경호
경비견;강아지,경호견

경영학자;경영학 전문가,경영학을 전공한 사람
경영학;조직이나 기업을 운영하고 관리하는데 필요한 이론과 기술을 연구하는 학문 분야
경영진;기업 내에서 경영을 총괄하는 최고 의사결정자들로 이루어진 집단
경영주;기업의 주인 또는 대표이자,경영을 주도하고 책임지는 사람
경영인;기업 내에서 경영에 관련된 일을 하는 사람
경영계;경영과 관련된 분야를 전공하는 학과나 전공 분야
경영과;경영을 전공하는 학과
경영비;기업이 운영하기 위해 필요한 자금
경영난;기업이 운영상 어려움을 겪는 상황
경영권;기업 내에서 최종 의사결정권과 책임을 가지는 권한
경영가;기업을 경영하는 사람,경영자
경양식;경상도와 전라도 지방에서 발전한 음식 스타일

경계선;경계,분계선,경계법
경과;지나다,흐르다,경과시간,시간이 지나다
경기;스포츠,시합,경쟁,대결
경력;경험,경력자,경력노동자
경리;회계,회계사,회계원,회계팀
경마;말경주,경마장,경마팬,경마도박
경비;보안,경호,경호원,경비대
경영;관리,운영,경영학,경영자,경영전략
경적;비명,울부짖음,경적소리,경적운전
경쟁;경쟁자,경쟁사,경쟁력,경쟁력강화

경사;기울기,비탈길,경사면
경사각;각도,기울기
경사도;기울기,비탈길,경사면
경사로;비탈길,슬로프
경사면;비탈길,기울기,경사
경사스럽다;기울어진,비스듬한,경사진
경사지다;기울어지다,내리막길,비탈길
경상;상,손해배상,피해
경상가액;손해배상액,보상금
경상비;상해보험,손해배상비용
경상적;실용적,현실적,타당한
경상차;지역버스,마을버스
경상학부;경제학부,상경학부
경색;혈액순환장애,뇌경색
경색증;뇌졸중,뇌경색
경서;한옥,전통주택,조선시대 건축
경석장;돌담,돌장벽
경선;지역선거,지방선거
경선론;지방선거론,지방정치론
경선론자;지방선거론가,지방정치론가
경선자;지방선거 후보자,지방선거 참여자
경소;작은,소규모,미세한
경솔;경솔한,경솔행위,접근
경솔히;무모하게,건방지게,성급하게
경수;선박의 구명보트,노점상
경수로;강,하천,운하
경수로형;수로형태,수로 모양
경술;술,주류,알코올음료
경술국치;술권,주류산업
경승;경매,경매공매,낙찰
경승용차;경차,소형승용차,경제적인 차
경시;전략,계략,방어
경신;개신,새로움,혁신
경아전;전쟁,대결,격전
경악;깜짝 놀람,충격,놀람
경악감;깜짝 놀람,충격,놀람
경악스럽다;충격적인,놀라운,깜짝 놀란

경양식;한식,차림판
경어;외국어,외래어,용어
경어법;용어법,용어해설
경어화;외래어화,용어화
경연;대회,경쟁,시합
경연장;경기장,대회장
경엽;잎,잎사귀
경영;관리,운영,매니지먼트
경영가;경영인,경영자,기업인
경영계;경영학,경영분야,경영술
경영과;경영학과,경영전공
경영권;지배력,통치권,관리권
경영난;경영위기,기업난,경제난
경영대;경영대학,경영대학원
경영비;경비,경영비용
경영인;경영가,경영자,기업인
경영자;경영인,기업인,사장
경영주;사업가,기업주,창업자
경영진;경영팀,경영자,경영행정
경영체;기업체,조직,회사
경영학;경영과학,경영분야,경영이론
경영학과;경영과학과,경영학부
경영학자;경영전문가,경영이론가,경영학 교수

경외;존경,존중,경의,공경
경외감;존경,경의,존중,공경
경외롭다;존경스러운,공경스러운,경의를 갖춘,존중받는
경외심;존경심,경의,존중,공경
경우;상황,처지,사정,모양
경운;곡창,노래,부르기,음악
경운기;악기,기계,콘서트,연주
경원;기원,뿌리,기반,근원
경원시;창시자,설립자,창립자,창시
경위;관계,지위,지배,지위세습
경위과;관리,직책,지위,관직
경위서;서한,서한문서,서류,서류집
경위의;지배,지위,통치,통치권
경유;오일,윤활유,연료,가솔린
경유지;주유소,가스스테이션,가솔린스테이션,주유장
경음악;클래식,오케스트라,심포니,음악
경의;존경,경외,존중,공경
경이;놀라운,기이한,이상한,신기한
경이감;두려움,무서움,공포,겁
경이롭다;경이스러운,놀라운,아름다운,웅장한
경이스럽다;무섭다,기이하다,놀라운,으스스하다
경이시;무섭다,두려움,기이함,공포
경이적;기이한,놀라운,웅장한,믿기 어려운
경인년;년도,연도,해,서기
경일;주일,일요일,일,주말
경입사;입사,취업,진출,입문
경작;농사,작물,농업,경작지
경작지;농경지,농사지,농지,농부의 토지
경장;옷,의상,복장,의복
경쟁;경쟁심,경쟁력,경쟁자,겨루기
경쟁국;경쟁국가,경쟁상대국,경쟁하는 나라,경쟁하는 국가
경쟁력;경쟁우위,경쟁위치,경쟁력강화
경쟁률;경쟁도,경쟁비율
경쟁사;경쟁업체,경쟁기업,경쟁자회사
경쟁심;경쟁열정,경쟁의욕,경쟁의지
경쟁의식;경쟁의식강화,경쟁감각,경쟁성의
경쟁자;경쟁대상,경쟁상대,경쟁참가자
경쟁작;경쟁작품,경쟁참작,경쟁종목
경쟁장;경쟁경기장,경쟁투구장,경쟁참가장
경쟁적;경쟁지향적,경쟁심리적,경쟁타협적
경적;노랑색,금색,황색
경전;선집,봉집,보존본
경전철;경전선,경전철로,경전철도
경절장;묘역,묘원,묘지
경정;미끄럼방지,제동,제어
경정비;정비비용,정비비,수리비
경제;경제학,경제체제,경제활동
경제가;경제학자,경제전문가,경제분석가
경제계;경제시스템,경제업계,경제권력자
경제과;경제학과,경제학부,경제사업부
경제국;경제강국,경제성장국,경제대국
경제국장;경제강국장,경제지도자,경제권력자
경제권;경제권력,경제대국,경제지역
경제난;경제위기,경기침체,불황
경제력;경제대국,경제강국,경제성장력
경제부;경제부처,경제기관,경제부서
경제사;경제사학,경제역사,경제문제
경제사상;경제이론,경제철학,경제관념
경제사학;경제학문,경제사,경제체제 연구
경제사학자;경제학자,경제사학자,경제사 연구가
경제상;경제불황,경제상황,경제현상
경제생활;경제생활관
경조사;조문,조의,부조
경조사비;조의금,조문비,조공비
경종;종,종소리,종교
경주;레이스,경마,달리기
경주자;경마선수,레이서,마장주인
경중;중심,주축,가장 중요한 것
경증;가벼운 증상,경미한 증세,증상이 적은
경지;영토,영지,토지
경직;뻣뻣함,단단함,굳음
경직화;단단하게 만들기,굳게 하다,경화
경질;단단하고 투명한 물질,강직한,굳센
경징계;경고,경계,징계
경차;승용차,소형차,경량차
경찰;경찰관,경위,경찰서
경찰관;경찰,경위,패트롤맨
경창;창고,창고지기,저장소
경책;경고,충고,훈계
경첩;문짝을 잡아 닫는 장치,문틀,문짝쇄
경청;청취,귀 기울이기
경추;추천,권유
경축;축하,경전
경치;풍경,전망
경칭;호칭,명칭
경쾌;경쾌한,쾌활한
경탄;놀람,경이
경탄스럽다;경이스러운,놀랍도록 아름다운
경판;판자,덧판
경품;상품,선물
경하;높이에서 내려오다,내리다
경합;경쟁,무대
경향;추세,경향성
경험;경험적인 지식,체험
경험담;경험에 근거한 이야기,경험적인 이야기
경험론;경험에 기초한 이론,경험주의
경험론자;경험론적인 사람,경험주의자
경험자;경험을 가진 사람,전문가
경험적;경험에 기초한,경험상의
경협;협력,협의
경호;보호,방어
경호원;보호원,경비원
경화;딱딱하게 만들다,고온하에서 단단하게 되다
경황;기분,감정
곁가지;산길,가는 길
곁길;산길,가는 길
곁눈;인상적인 눈빛,차분한 눈빛
곁눈질;차분한 눈빛으로 쳐다보기
곁다리;부수적인 것,사변
곁들다;합치다,끼워 넣다
곁들이다;같이 덧붙이다,더하다
곁방살이;부수적인 일,부연한 일
계간;주기,기간
계고;기록,일기
계곡;골짜기,협곡
계급;지위,신분
계급장;계급의 상징,계급의 기호
계급화;계급으로 나누어 분류함
계기;기회,찬스
계기적;의미 있는,상징적인
계기판;계기를 보여주는 판,계기판
계단;스텝,층계,계단식 구조
계단식;계단형,계단모양,층계식
계단적;계단식,층계식,계단형
계단참;층계대,올라가는 길,계단 오르는 것
계락;급경사,경사,비탈길
계란;알,산란,난식품
계란형;타원형,타원 모양
계략;책략,음모,작전
계량;측정,측량,계산
계량화;측정화,분석,정량화
계류;떠돌이,표류,흐름
계면쩍다;접하다,접촉하다,닿다
계면화;표면활성,계면활성,표면효과
계명;법칙,원칙,규정
경외;존경,존중,경의,공경
경외감;존경,경의,존중,공경
경외롭다;존경스러운,공경스러운,경의를 갖춘,존중받는
경외심;존경심,경의,존중,공경
경우;상황,처지,사정,모양
경운;곡창,노래,부르기,음악
경운기;악기,기계,콘서트,연주
경원;기원,뿌리,기반,근원
경원시;창시자,설립자,창립자,창시
경위;관계,지위,지배,지위세습
경위과;관리,직책,지위,관직
경위서;서한,서한문서,서류,서류집
경위의;지배,지위,통치,통치권
경유;오일,윤활유,연료,가솔린
경유지;주유소,가스스테이션,가솔린스테이션,주유장
경음악;클래식,오케스트라,심포니,음악
경의;존경,경외,존중,공경
경이;놀라운,기이한,이상한,신기한
경이감;두려움,무서움,공포,겁
경이롭다;경이스러운,놀라운,아름다운,웅장한
경이스럽다;무섭다,기이하다,놀라운,으스스하다
경이시;무섭다,두려움,기이함,공포
경이적;기이한,놀라운,웅장한,믿기 어려운
경인년;년도,연도,해,서기
경일;주일,일요일,일,주말
경입사;입사,취업,진출,입문
경작;농사,작물,농업,경작지
경작지;농경지,농사지,농지,농부의 토지
경장;옷,의상,복장,의복
경쟁;경쟁심,경쟁력,경쟁자,겨루기
경쟁국;경쟁국가,경쟁상대국,경쟁하는 나라,경쟁하는 국가
경쟁력;경쟁우위,경쟁위치,경쟁력강화
경쟁률;경쟁도,경쟁비율
경쟁사;경쟁업체,경쟁기업,경쟁자회사
경쟁심;경쟁열정,경쟁의욕,경쟁의지
경쟁의식;경쟁의식강화,경쟁감각,경쟁성의
경쟁자;경쟁대상,경쟁상대,경쟁참가자
경쟁작;경쟁작품,경쟁참작,경쟁종목
경쟁장;경쟁경기장,경쟁투구장,경쟁참가장
경쟁적;경쟁지향적,경쟁심리적,경쟁타협적
경적;노랑색,금색,황색
경전;선집,봉집,보존본
경전철;경전선,경전철로,경전철도
경절장;묘역,묘원,묘지
경정;미끄럼방지,제동,제어
경정비;정비비용,정비비,수리비
경제;경제학,경제체제,경제활동
경제가;경제학자,경제전문가,경제분석가
경제계;경제시스템,경제업계,경제권력자
경제과;경제학과,경제학부,경제사업부
경제국;경제강국,경제성장국,경제대국
경제국장;경제강국장,경제지도자,경제권력자
경제권;경제권력,경제대국,경제지역
경제난;경제위기,경기침체,불황
경제력;경제대국,경제강국,경제성장력
경제부;경제부처,경제기관,경제부서
경제사;경제사학,경제역사,경제문제
경제사상;경제이론,경제철학,경제관념
경제사학;경제학문,경제사,경제체제 연구
경제사학자;경제학자,경제사학자,경제사 연구가
경제상;경제불황,경제상황,경제현상
경제생활;경제생활관
경조사;조문,조의,부조
경조사비;조의금,조문비,조공비
경종;종,종소리,종교
경주;레이스,경마,달리기
경주자;경마선수,레이서,마장주인
경중;중심,주축,가장 중요한 것
경증;가벼운 증상,경미한 증세,증상이 적은
경지;영토,영지,토지
경직;뻣뻣함,단단함,굳음
경직화;단단하게 만들기,굳게 하다,경화
경질;단단하고 투명한 물질,강직한,굳센
경징계;경고,경계,징계
경차;승용차,소형차,경량차
경찰;경찰관,경위,경찰서
경찰관;경찰,경위,패트롤맨
경창;창고,창고지기,저장소
경책;경고,충고,훈계
경첩;문짝을 잡아 닫는 장치,문틀,문짝쇄
경청;청취,귀 기울이기
경추;추천,권유
경축;축하,경전
경치;풍경,전망
경칭;호칭,명칭
경쾌;경쾌한,쾌활한
경탄;놀람,경이
경탄스럽다;경이스러운,놀랍도록 아름다운
경판;판자,덧판
경품;상품,선물
경하;높이에서 내려오다,내리다
경합;경쟁,무대
경향;추세,경향성
경험;경험적인 지식,체험
경험담;경험에 근거한 이야기,경험적인 이야기
경험론;경험에 기초한 이론,경험주의
경험론자;경험론적인 사람,경험주의자
경험자;경험을 가진 사람,전문가
경험적;경험에 기초한,경험상의
경협;협력,협의
경호;보호,방어
경호원;보호원,경비원
경화;딱딱하게 만들다,고온하에서 단단하게 되다
경황;기분,감정
곁가지;산길,가는 길
곁길;산길,가는 길
곁눈;인상적인 눈빛,차분한 눈빛
곁눈질;차분한 눈빛으로 쳐다보기
곁다리;부수적인 것,사변
곁들다;합치다,끼워 넣다
곁들이다;같이 덧붙이다,더하다
곁방살이;부수적인 일,부연한 일
계간;주기,기간
계고;기록,일기
계곡;골짜기,협곡
계급;지위,신분
계급장;계급의 상징,계급의 기호
계급화;계급으로 나누어 분류함
계기;기회,찬스
계기적;의미 있는,상징적인
계기판;계기를 보여주는 판,계기판
계단;스텝,층계,계단식 구조
계단식;계단형,계단모양,층계식
계단적;계단식,층계식,계단형
계단참;층계대,올라가는 길,계단 오르는 것
계락;급경사,경사,비탈길
계란;알,산란,난식품
계란형;타원형,타원 모양
계략;책략,음모,작전
계량;측정,측량,계산
계량화;측정화,분석,정량화
계류;떠돌이,표류,흐름
계면쩍다;접하다,접촉하다,닿다
계면화;표면활성,계면활성,표면효과
계명;법칙,원칙,규치
계모;어머니,모친
계몽;깨우침,각성
계몽적;각성적인,깨우치는
계몽주의;인식론,깨달음론
계몽주의자;인식론자,깨달음론자
계몽주의적;인식론적인,깨달음론적인
계보;가계도,족보
계보학;족보학,가계도 연구
계산;산술,측정
계산기;컴퓨터,전자계산기
계산대;계산기,레지스터
계산력;산술 능력,계산 능력
계산법;산법,계산 방법
계산서;청구서,지출 증빙서
계산적;수학적,산술적
계산표;스프레드시트,엑셀
계속;계속적으로,지속적으로
계속계속;계속해서,지속적으로
계속적;지속적인,계속적인
계수;상수,계수학
계승;팩토리얼,연속 곱셈
계승권;제곱근,제곱
계승자;팩토리얼,제곱근
계승적;제곱근의,팩토리얼의
계시;보다,관찰하다
계시다;관찰하다,보다
계시론;인식론,경험론
계시성;관찰 능력,주시력
계시적;관찰적인,주시적인
계약;계약서,합의
계약금;선금,보증금
계약서;계약서류,계약 합의서
계약식;계약서,계약서식
계약자;계약상대방,계약 체결자
계약적;계약적인,계약에 관한
계약제;계약 조건,계약 기간
계약직;계약근로자,계약직원
계엄;군사 통제,군사적 지위
계엄군;군사통제군,군사행정군
계엄령;군사통제령,군사행정령
계업;사업,직업,업종
계열;분야,학문,종류
계열사;자회사,그룹사
계열화;다양화,변화,분화
계율;비율,수치,할인율
계이름;본명,성명,이름
계장;장교,부사령관,부총장
계절;시즌,계절학,계절적
계절학;계절,계절적,계절별
계정;회계,재무,가계
계좌;통장,은행계좌,계좌번호
계주;막걸리,술,주류
계집;여자,부인,아내
계집아이;소녀,딸,아이
계집애;소녀,딸,아이
계책;방안,대책,전략
계측;측정,측량,검사
계측기;측정기기,측정장비,측정도구
계층;층위,층단,레벨
계층화;층위,계층적,층별
계통;관련,순서,체계
계통적;체계적,일관성 있는,관련 있는
계투;싸움,대결,투쟁
계파;당파,세력,파벌
계피;향신료,조미료,양념




개선하는;개선시키는,개선하는,고치는
나는;저는,전,난,나는
매우;매우도,아주,꽤,몹시,매우
아주;매우,꽤,몹시,아주,매우도
매우도;매우,꽤,몹시,아주,매우도
몹시;매우,꽤,몹시,매우도,아주
훨씬;훨씬더,훨씬더욱,두배로,세배로
탁월한;훌륭한,뛰어난,슈퍼한
있습니다;있어요
불릴 만큼;불릴 정도로
뛰어난;탁월한
가지고;갖고
입니다;인데요
탁월한;뛰어난
만들어;제조하여
마시거나;섭취한다거나
함께;더불어
있습니다;있어요
불릴 만큼;불릴 정도로
뛰어난;탁월한
가지고;갖고
입니다;인데요
탁월한;뛰어난
만들어;제조하여
마시거나;섭취한다거나
함께;더불어
방지;예방
및;그리고
효과가;효력이
있으며;존재하며
예방;방지
같은;유사한
있다고;존재한다고
성질을;특성을
널리;넓게
기력;체력
촉진하는;촉진시키는
없애는;제거하는
없애주는;제거하는
강력한;강한
향상;증진
전환;변환
줄이는;낮추는
다량 할수록;많이 할수록
다량 생각;대체로 생각
미리;먼저
지방을 줄여주고;체지방 감소와
혈압을 낮추는데;혈압 저하에
불리는;말하는
만들어서;제조하여
함께;더불어
대단히;훨씬
높습니다;많아요
골격;뼈
나무잎;나뭇잎
구분없이;구분 없이
포함되어;들어있어
들어있어 있는;들어있는
들어있어 있기;들어있기
들어있어 있습;들어있습
들어있어 있어;들어있어
들어있어이었기;들어있기
채소;야채
음식;요리
음식;식품
몸안;체내
몸 안;체내
몸속;체내
몸 속;체내
칼륨 성분;칼륨
마그네슘 성분;마그네슘
비타민 성분;비타민
도움을 줍니다.;효과가 있다고 합니다.
효과가 있으며;효과적이며
혈압이 높은;고혈압 환자
혈액;피
피순환;혈액 순환
피 순환;혈액 순환
깨끗하게;맑게
도움을 줍니다.;효과가 있다고 해요.
도움을 줍니다;효과가 있다고 해요
개선하는 데;좋게하는 데
개선하는데;좋게하는 데
장운동;장활동
눈질환;안질환
뚜렷;명확
감퇴;저하
눈병;눈질환
그러나;하지만
않지만;않으나
않지만;않습니다. 하지만
전형적;대표적
대표적인;전형적인
기인합니다.;여겨져요.
기인합니다;원인이라고 해요
기인한;원인이 되는
관한;대한
하나인;한가지인
조사하면서;연구하면서
조사한;연구한
조사하고;연구하고
함유;포함
원인;이유
도움이 된다고 합니다;효과가 있어요
도움이 되요;효과가 있어요
효과가 있기;도움이 되기
도움이 되며;효과가 되며
그뿐만 아니라;또한
그뿐만아니라;또한
일어날 수;발생할 수
일어날수;발생할 수
피하는;자제하는
이룹니다.;형성해요.
이루고;형성하고

발전;향상
억제;제한
요소;성분
가장;매우
여러가지;다양한
여러가지;여러 가지
여러 가지;다양한
다양한 있으며;여러 가지 있으며
다양한이;여러 가지
이러한;이런
늘리는;높이는
증가시키;늘리
면역력 증가;면역력 향상
하겠습니다.;할게요.
하게 되면;하면
하게되면;할때
갈증;목마름
성인;어른
생성;형성
치료;개선
의사;전문가
주전문가항;주의사항
추천;권장
그래서;따라서
많기 따라서;때문에
그렇다면;그럼
도움이될;유용할
도움이 될;유용할
어린이;아이
아이;어린이
노인;노약자
노인;어르신
노약자성;노인성
증세;증상
어린이스크림;아이스크림
어린어린이;어린 아이
어린이디;아이디
풍부하여;많아서
많아서;풍부하여
많아서;풍부하여
풍부하여;많아서
막훨씬고;막아주고
막매우고;막아주고
막더욱고;막아주고
막더욱은;막아주는
막더욱이기;막아주기
더욱자리;가장자리
막훨씬은;억제하는
막더욱이게;막아주기에
깊다;깊어요
대해서;관하여
관하여;대하여
대하여;관해
관해서;대해서
관해;관하여
주대해서;주관하여
효과가 있다고;효능이 있다고
지키는;유지하는
유지하는이데;유지하는데
좋게;개선
베타카로틴 성분이;베타카로틴이
엽산 성분이;엽산이
풍부하여;많이 포함되어
풍부해;많이 포함돼
찌꺼기;잔여물
식이 섬유;섬유질
섬유질소;섬유질
내려주고;낮추고
나쁜;해로운
적절한;적당한
한다.;합니다.
합니다.;해요.
신경을써야;유의해야
신경을 써야;유의해야
보일;유발할
된다.;됩니다.
됩니다.;돼요.
졌다.;졌습니다.
졌습니다.;졌어요.
지다.;졌습니다.
졌습니다.;졌어요.
났다.;났습니다.
났습니다.;났어요.
나다.;납니다.
납니다.;나요.
았다.;았습니다.
았습니다.;았어요.
됐다.;됐습니다.
됐습니다.;됐어요.
준다.;줍니다.
줍니다.;줘요.
이다.;입니다.
입니다.;에요.
적에요.;적입니다.
것에요.;것입니다.
과일에요.;과일이에요.
음식에요.;음식이에요.
식품에요.;식품입니다.
마늘에요.;마늘이에요.
바나나에요.;바나나예요.
때문에요.;때문입니다.
효과에요.;효과입니다.
개선에요.;개선입니다.
보에요.;보여요.
상황에요.;상황입니다.
질병에요.;질병입니다.
증상에요.;증상입니다.
질환에요.;질환입니다.
이제;그렇다면 이제
그렇다면;이제
그럼;이제
이제;그럼
그러면;이제
이제;그러면
살펴보겠습니다;알아볼게요
알아보겠습니다;살펴볼게요
알아볼게요;알아볼까요
살펴볼게요;알아볼까요
살펴보겠습니다;살펴볼까요
알아볼게요;살펴볼게요
알아볼까요;살펴보겠습니다
알아볼게요;살펴볼게요
살펴볼까요;살펴볼게요
살펴보겠습니다;알아볼게요
알아볼게요;알아볼까요
알아보았습니다;알아봤어요
알아봤습니다;살펴봤어요
살펴봤습니다;알아봤어요
알아봤어요;살펴봤어요
살펴봤어요;알아봤습니다
내용이었어요;알아봤어요
살펴봤어요;내용이었어요
알아봤어요;내용이었어요
알아보았습니다;내용이었어요
알아봤습니다;알아봤어요
알아봤어요;살펴봤어요
있다.;있어요.
있다.;있다고 합니다.
있다.;있어요.
있다.;있습니다.
있다.;있다고 합니다.
유발하고;일으키고
유발하고;발생시키고
유발하는;일으키는
유발하는;발생시키는
유발합니다.;발생한다고 하네요.
유발합니다.;일으켜요.
일으키고;유발하고
일으키고;발생시키고
일으키는;유발하는
일으키는;발생시키는
일으킵니다.;유발해요.
일으킵니다.;발생시켜요.
발생시키고;일으키고
발생시키고;유발하고
발생시킵니다.;유발해요.
발생시킵니다.;일으켜요.
발생시키는;유발하는
발생시키는;일으키는
촉진하고;일으키고
촉진하고;유발하고
촉진합니다.;유발해요.
촉진합니다.;일으켜요.
촉진하는;유발하는
촉진하는;일으키는
보호하고;지켜주고
보호하고;막아주고
보호합니다.;지켜줘요.
보호합니다.;막아줘요.
보호하는;지켜주는
보호하는;막아주는
지켜주고;막아주고
지켜주고;보호하고
지켜줍니다.;보호해요.
지켜줍니다.;막아줘요.
지켜주는;막아주는
지켜주는;보호하는
막아주고;지켜주고
막아주고;보호하고
막아줍니다.;지켜줘요.
막아줍니다.;보호해요.
막아주는;지켜주는
막아주는;보호하는
방지하고;지켜주고
방지하고;보호하고
방지합니다.;지켜줘요.
방지합니다.;보호해요.
방지하는;지켜주는
방지하는;보호하는
방지;예방
차단하고;막아주고
차단하고;보호하고
차단합니다.;막아줘요.
차단합니다.;보호해요.
차단하는;막아주는
차단하는;보호하는
지켜주는이데;막아주는데
있다.;있습니다.

다량이있어요.;많이 있습니다.
좋은;친화적인
안친화적인;안좋은
친화적인이지;친화적인지
및;그리고
효과;효력
효과가;효력이
효력이;효능이
효능이;영향이
효력가;효력이
효과가 있으며;존재하며 있으며
뛰어난;탁월한
성질;특성
체력;기력
이점;장점
함유된;들어있는
늘리는데;높이는데
늘리고;증가시키고
지연시킴으로;늦춤으로
때로는;가끔은
때론;가끔씩
과다;많이
인체;신체
몸의;신체의
양기를;기운을
물질;성분
함유되어;포함되어
무력화시키는 데;없애는 데
도움을 주기;효과가 있기
함유돼;포함돼
도움이 됩니다.;효과가 있어요.
튼튼하게;건강하게
높여줄;증가시켜줄
것을 권장합니다.;것이 좋습니다.
과다 섭취는;많이 먹는 것은
다량 섭취하게;많이 먹게
그뿐만;또한
소화 효소;소화액
살펴보겠습니다.;알아보겠습니다.
재배되는;자라는
재배되고;자라고
비롯됩니다.;기인합니다.
간주합니다.;여겨집니다.
간주하고;여겨지고
간주하며;여겨지며
간주하다.;여겨져요.
근거합니다.;기초하고 있습니다.
근거;자료
지속되는;계속되는
좋다.;좋아요.
말리는;건조하는
말려서;건조하여
건조;말린
말린한;건조한
말린된;건조된
말린하고;건조하고
말린시킨;건조시킨
말려하여;건조하여
말린하여;말려서
껍질;껍데기
속에는;안에는
통채로;전부
말리기;건조시키기
좋고;도움이 되고
식품;음식
유해한;나쁜
많이 들어있;잔뜩 들어있
제거해주는;제거하는
역할;기능
결론적으로;결과적으로
결론;결과
원활하게;좋게
와 같은;처럼
질환;질병
풍부하게;다량으로
들어있기;포함되어 있기
간편하게;편리하게
조금;약간
활발하게;빠르게
개발;향상
높여주는;향상시키는
향상시키는이데;향상시키는데
조금;약간
보충하고;채워주고
적당량;적절량
비타민성분;비타민
좋습니다;효과가 있어요.
비타민A성분;비타민A
비타민A 성분;비타민A
비타민a성분;비타민A
비타민a 성분;비타민A
나빠지는;안좋아지는
기력;원기
회복하고;되찾고
회복하며;되찾으며
회복시켜주고;회복하고
회복시켜주며;회복하며
회복합니다.;되찾게 됩니다.
회복합니다;회복해요
회복하는;되찾는
회복시켜;회복하여
되찾는이데;되찾는데
증강;회복
당이 높고;당이 있고
당이 높아;당이 있어
당이 높기;당이 있기
섭취하게;먹게
섭취시;먹을때
소량으로;적은 양으로
소량;적게
다를 수 있;차이가 있
부족한;빈약한
부작용;역효과
보충;보강
막아주고;보호하고
더하고;플러스하고
노폐물;찌꺼기
각종;여러
관절;뼈
뼈염;관절염
해소;개선
특성;특징
완화하는;낮추는
완화하며;낮추며
완화하고;낮추고
활용방법;활용법
활용 방법;활용법
권장 섭취량;권장량
권장섭취량;권장량
유발할 수;일으킬 수
유발할수;일으킬 수
나타나는;발생하는
섭취하시면;먹게되면
알콜;알코올
비타민C 성분;비타민C
비타민c 성분;비타민C
비타민C이;비타민C가
비타민c이;비타민C가
비타민C을;비타민C를
비타민c을;비타민C를
비타민 C 성분;비타민C
비타민 c 성분;비타민C
몸을;신체를
